City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
172,argo,37.6333,22.7333,300.81,36,0,1.33,GR,1689310472
173,jayapura,-2.5333,140.7,303.81,72,76,2.94,ID,1689310472
174,puerto ayora,-0.7393,-90.3518,298.46,93,39,1.79,EC,1689310472
175,tazovsky,67.4667,78.7,282.32,56,22,3.84,RU,1689310473
176,vallenar,-28.5708,-70.7581,290.79,8,90,1.69,CL,1689310473
177,zhangye,38.9342,100.4517,302.16,18,84,3.08,CN,1689310413
178,nago,26.5881,127.9761,305.39,75,94,6.68,JP,1689310474
179,rabaul,-4.1967,152.1721,301.22,78,90,4.26,PG,1689310474
180,cabedelo,-6.9811,-34.8339,296.52,78,0,2.89,BR,1689310474
181,lihue,21.9789,-159.3672,300.92,72,40,4.63,US,1689310474
182,port alfred,-33.5906,26.891,286.28,77,0,5.94,ZA,1689310475
183,caconda,-13.7333,15.0667,281.6,42,0,0.46,AO,1689310475
184,cabo san lucas,22.8909,-109.9124,304.6,62,6,0.89,MX,1689310416
185,adler,43.43,39.92,294.24,64,0,4.0,RU,1689310475
186,batang,-6.4846,110.7083,303.54,59,98,4.39,ID,1689310476
187,olonkinbyen,70.9221,-8.7187,277.76,98,100,7.51,SJ,1689310476
188,jalapa,19.5333,-96.9167,290.44,95,44,1.77,MX,1689310335
189,sinop,41.7711,34.8709,287.39,43,0,0.75,TR,1689310476
190,plouzane,48.3833,-4.6167,290.25,88,75,7.72,FR,1689310477
191,aleksandrow kujawski,52.8766,18.6935,292.74,65,18,3.65,PL,1689310477
192,shingu,33.7333,135.9833,303.62,58,97,6.26,JP,1689310477
193,mandalgovi,45.7625,106.2708,292.25,29,0,7.56,MN,1689310477
194,magadan,59.5667,150.8,290.67,77,14,2.54,RU,1689310478
195,xilin hot,43.9667,116.0333,289.11,86,100,10.17,CN,1689310478
196,petropavlovsk-kamchatsky,53.0452,158.6483,284.48,100,100,2.0,RU,1689310478
